Specimen label,"1018_1"
End date,"Monday, January 24, 2022"
Thickness,"6.24000",mm
Width,"12.38000",mm
Final length,"57.02000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"41.500","3.459","44523.25","0.00764","0.00486"
"41.600","3.467","44542.37","0.00773","0.00492"
"41.700","3.475","44559.46","0.00782","0.00498"
"41.800","3.484","44582.24","0.00791","0.00504"
"41.900","3.492","44607.80","0.00800","0.00511"
"42.000","3.500","44638.18","0.00809","0.00517"
"42.100","3.508","44656.33","0.00818","0.00523"
"42.200","3.517","44689.22","0.00827","0.00529"
"42.300","3.525","44723.07","0.00836","0.00536"
"42.400","3.534","44736.98","0.00846","0.00543"
"42.500","3.542","44746.43","0.00855","0.00549"
"42.600","3.550","44768.71","0.00865","0.00556"
"42.700","3.558","44795.65","0.00874","0.00563"
"42.800","3.567","44822.10","0.00884","0.00570"
"42.900","3.575","44851.88","0.00893","0.00577"
"43.000","3.583","44863.51","0.00903","0.00583"
"43.100","3.592","44888.48","0.00913","0.00590"
"43.200","3.600","44904.43","0.00923","0.00596"
"43.300","3.608","44916.43","0.00933","0.00603"
"43.400","3.617","44934.30","0.00943","0.00610"
"43.500","3.625","44953.16","0.00953","0.00617"
"43.600","3.634","44956.59","0.00963","0.00624"
"43.700","3.642","44972.79","0.00973","0.00631"
"43.800","3.650","44999.35","0.00983","0.00638"
"43.900","3.658","45012.60","0.00994","0.00645"
"44.000","3.667","45036.16","0.01004","0.00652"
"44.100","3.675","45052.19","0.01015","0.00659"
"44.200","3.683","45065.56","0.01025","0.00666"
"44.300","3.692","45073.47","0.01036","0.00673"
"44.400","3.700","45085.29","0.01047","0.00680"
"44.500","3.709","45110.04","0.01057","0.00687"
"44.600","3.717","45124.82","0.01068","0.00695"
"44.700","3.725","45141.15","0.01079","0.00701"
"44.800","3.733","45156.89","0.01090","0.00709"
"44.900","3.742","45157.93","0.01100","0.00716"
"45.000","3.750","45162.28","0.01111","0.00723"
"45.100","3.759","45172.13","0.01122","0.00731"
"45.200","3.767","45177.09","0.01134","0.00738"
"45.300","3.775","45181.93","0.01145","0.00746"
"45.400","3.783","45189.50","0.01156","0.00753"
"45.500","3.792","45201.12","0.01167","0.00760"
"45.600","3.800","45214.22","0.01178","0.00768"
"45.700","3.809","45232.07","0.01190","0.00775"
"45.800","3.817","45249.02","0.01201","0.00782"
"45.900","3.825","45255.09","0.01212","0.00790"
"46.000","3.833","45263.57","0.01223","0.00797"
"46.100","3.842","45276.02","0.01235","0.00804"
"46.200","3.850","45282.77","0.01247","0.00812"
"46.300","3.859","45293.11","0.01258","0.00819"
"46.400","3.867","45306.02","0.01270","0.00827"
"46.500","3.875","45314.71","0.01282","0.00835"
"46.600","3.884","45322.59","0.01293","0.00842"
"46.700","3.892","45328.56","0.01305","0.00850"
"46.800","3.900","45338.15","0.01317","0.00858"
"46.900","3.909","45353.71","0.01329","0.00866"
"47.000","3.917","45355.65","0.01341","0.00873"
"47.100","3.925","45361.52","0.01354","0.00881"
"47.200","3.934","45364.78","0.01366","0.00888"
"47.300","3.942","45367.91","0.01378","0.00896"
"47.400","3.950","45370.52","0.01390","0.00904"
"47.500","3.959","45373.56","0.01402","0.00911"
"47.600","3.967","45374.03","0.01414","0.00919"
"47.700","3.975","45378.06","0.01426","0.00927"
"47.800","3.984","45378.73","0.01438","0.00935"
"47.900","3.992","45381.66","0.01451","0.00942"
"48.000","4.000","45386.93","0.01463","0.00950"
"48.100","4.008","45389.49","0.01476","0.00957"
"48.200","4.017","45397.29","0.01488","0.00965"
"48.300","4.025","45407.38","0.01501","0.00973"
"48.400","4.034","45408.15","0.01513","0.00981"
"48.500","4.042","45415.68","0.01525","0.00989"
"48.600","4.050","45418.05","0.01538","0.00997"
"48.700","4.059","45421.07","0.01551","0.01005"
"48.800","4.067","45426.91","0.01564","0.01012"
"48.900","4.075","45430.45","0.01577","0.01020"
"49.000","4.084","45436.86","0.01590","0.01028"
"49.100","4.092","45440.55","0.01603","0.01036"
"49.200","4.100","45446.00","0.01616","0.01044"
"49.300","4.108","45446.42","0.01629","0.01051"
"49.400","4.117","45445.52","0.01642","0.01059"
"49.500","4.125","45452.73","0.01656","0.01067"
"49.600","4.134","45457.52","0.01669","0.01076"
"49.700","4.142","45448.51","0.01682","0.01084"
"49.800","4.150","45455.27","0.01695","0.01092"
"49.900","4.159","45466.53","0.01707","0.01099"
"50.000","4.167","45462.51","0.01721","0.01107"
"50.100","4.175","45463.36","0.01734","0.01116"
"50.200","4.183","45465.92","0.01748","0.01123"
"50.300","4.192","45468.81","0.01760","0.01132"
"50.400","4.200","45469.54","0.01774","0.01140"
"50.500","4.208","45468.86","0.01787","0.01148"
"50.600","4.217","45468.62","0.01801","0.01155"
"50.700","4.225","45472.68","0.01814","0.01164"
"50.800","4.233","45472.34","0.01827","0.01172"
"50.900","4.242","45469.79","0.01840","0.01179"
"51.000","4.250","45470.79","0.01854","0.01188"
